pri_key,dates,clients,orders
85,2019/12/12,c3,267
99,2019/12/16,c3,96
4,2019/12/18,c3,1135
135,2019/12/19,c3,155
45,2019/12/20,c3,104
171,2019/12/21,c3,863
215,2019/12/22,c3,933
227,2019/12/23,c3,1107
246,2019/12/24,c3,241
16,2019/12/27,c3,834
338,2019/12/28,c3,222
341,2019/12/29,c3,1802
349,2019/12/30,c3,2474
397,2019/12/31,c3,1997
490,2020/01/02,c3,762
39,2020/01/03,c3,1321
598,2020/01/06,c3,374
653,2020/01/07,c3,1037
740,2020/01/09,c3,144
785,2020/01/10,c3,48
824,2020/01/13,c3,4631
909,2020/01/14,c3,968
88,2020/01/15,c3,2081
1034,2020/01/16,c3,384
1091,2020/01/17,c3,875
1141,2020/01/18,c3,48
1152,2020/01/20,c3,2225
1167,2020/01/21,c3,1808
17,2020/01/22,c3,1603
1351,2020/01/23,c3,411
1460,2020/01/25,c3,85
89,2020/01/27,c3,2893
1575,2020/01/28,c3,1496
1659,2020/01/29,c3,1758
1738,2020/01/30,c3,512
1792,2020/01/31,c3,851
1839,2020/02/01,c3,48
94,2020/02/03,c3,933
1899,2020/02/04,c3,701
110,2020/02/05,c3,1399
2066,2020/02/06,c3,1642
2116,2020/02/07,c3,1647
763,2020/02/10,c3,631
2239,2020/02/11,c3,1001
2315,2020/02/12,c3,799
2305,2020/02/13,c3,924
2409,2020/02/14,c3,1297
2548,2020/02/18,c3,528
2556,2020/02/19,c3,924
2629,2020/02/20,c3,1314
2683,2020/02/21,c3,2136
2764,2020/02/24,c3,516
